id,depth,동작,예상,tree_flag,verdict,req_section,evidence,dup_status
130,3,Xpair 범위 밖의 VSCodium 기본 표면에 접근 시도,접근 불가로 차단하고 하위 탐색하지 않음,terminate,UNSPECIFIED,-,no direct requirement,
131,3,사용자가 Xpair Sessions 표면을 엶,"Sessions 사이드바와 하단 Session Manager에서 Attached, Detached, History, 새 세션, 패널 토글을 조작할 수 있음",continue,BACKED,§1.8 Q0480,Sessions is the primary container.,inconsistent-duplicate
132,3,사용자가 Xpair Remote Desktop 표면을 엶,view-only RD 연결/새로고침/오류 흐름으로 이어짐,continue,BACKED,"§1.9 Q0346,Q0438,Q0474",Remote Desktop is a core Client IDE surface,inconsistent-duplicate
133,3,사용자가 Xpair Browser/Add Root/Settings 표면을 엶,"파일 root, mount, mapping, settings, logs 흐름으로 이어짐",continue,BACKED,"§1.7 Q0041,Q0042,Q0043",maps client paths to host paths,inconsistent-duplicate
210,3,Finder Quick Action을 GUI가 처리할 수 없는 unmapped 상태로 실행,GUI에서 추가 입력을 받을 수 없으므로 종료,terminate,UNSPECIFIED,-,no direct requirement,
211,3,Finder Quick Action을 mapped folder에서 실행,매핑된 host path의 세션 attach 흐름으로 이어짐,continue,BACKED,"§1.7 Q0041,Q0042,Q0043",Xpair assumes files are available on the host and maps client paths to host paths.,inconsistent-duplicate
212,3,Finder Quick Action이 stale mapping 또는 unreachable host 상태에서 실행됨,"사용자는 터미널에 뜬 오류, mapping 복구, host dir 생성, local fallback 중 하나를 보게 됨",continue,UNSPECIFIED,-,no direct requirement,inconsistent-duplicate
311,3,`xpair launch`를 local/self-host target으로 실행,local tmux/session 흐름으로 이어짐,continue,UNSPECIFIED,-,no direct requirement,inconsistent-duplicate
312,3,사용자가 mapped remote target으로 `xpair launch`를 실행,client path를 host path로 바꾸고 remote tmux attach로 진행,continue,BACKED,"§1.7 Q0041,Q0042,Q0043",maps client paths to host paths,inconsistent-duplicate
313,3,`xpair launch`를 unmapped local folder에서 실행함,"remote host path 확인 뒤 등록, 생성, 취소, 자동 생성으로 분기",continue,BACKED,§1.7 Q0414,Client UX should use Add Mapping,inconsistent-duplicate
314,3,`xpair launch`에서 SSH/auth/host reachability 실패 흐름으로 진입,"실패 안내, local fallback, terminate 흐름으로 이어짐",continue,UNSPECIFIED,-,no direct requirement,inconsistent-duplicate
410,3,Host onboarding을 닫아 권한/설정을 완료하지 않음,권한 미완료면 Host가 종료되거나 준비 상태로 넘어가지 않음,terminate,BACKED,§1.5 Q0443,"If TCC is not resolved, the app should not proceed as though setup succeeded.",
411,3,Host onboarding에서 권한/엔진 설정을 진행,AX/SR 권한과 엔진 설치/인증 guard를 통과해야 Connect 단계로 이동,continue,BACKED,§1.5 Q0443,"If TCC is not resolved, the app should not proceed as though setup succeeded.",inconsistent-duplicate
412,3,Host onboarding에서 Connect/Done 단계까지 진행,클라이언트가 없으면 “다른 Mac에서 Xpair를 열라”는 대기/안내 상태로 남음,continue,CONTRADICTS,§1.5 Q0543,with no connected client the Host onboarding is expected to hold at the permission step,inconsistent-duplicate
421,3,Host가 준비된 상태에서 XpairHost 메뉴를 조작,메뉴에서 권한/Connect/Set up/업데이트/세션 상태를 조작 가능,continue,BACKED,"§0.4 Q0441,Q0442,Q0473,Q0493,Q0494",Host onboarding must be accessible from the Host app/menu bar as a product flow,inconsistent-duplicate
422,3,Host 준비 후 사용자가 Xpair 클라이언트를 열어 연결 시도,Xpair 클라이언트 flow로 이어지고 Host는 connected client 상태를 표시,continue,UNSPECIFIED,-,no direct requirement,inconsistent-duplicate
423,3,Host가 준비됐지만 연결된 Xpair 클라이언트가 없음,"메뉴와 상태가 no-client 대기 상태를 보이고, Host는 계속 실행되며 Xpair 클라이언트 실행을 안내함",continue,CONTRADICTS,§1.5 Q0543,with no connected client the Host onboarding is expected to hold at the permission step,inconsistent-duplicate
1110,4,Welcome 화면에서 Next를 누르지 않고 중단,온보딩이 완료되지 않고 host 탐색이 시작되지 않음,terminate,BACKED,§1.2 Q0369,Client onboarding closes only after the necessary setup is complete,
1111,4,Welcome 화면에서 Next 클릭,Before you start 동의 화면으로 이동,continue,UNSPECIFIED,-,no direct requirement,
1120,4,사용자가 수동 연결 화면에서 닫기 또는 이전 이탈을 선택함,온보딩 완료 없이 종료,terminate,UNSPECIFIED,-,no direct requirement for this branch,
1121,4,Tailscale 상태 확인 중 화면이 표시됨,안내만 대기하고 host 입력은 가능해야 함,continue,UNSPECIFIED,-,no direct requirement,
1122,4,Tailscale Ready 안내가 표시됨,tailnet host 이름 입력을 권장하고 연결 판단은 SSH probe로 진행,continue,BACKED,§1.4 Q0383,"Tailscale is a fallback, not a prerequisite.",
1123,4,"Tailscale 설치됨, 미실행 안내가 표시됨",Tailscale 실행 또는 일반 SSH host 입력을 안내하고 연결 판단은 SSH probe로 진행,continue,BACKED,§1.4 Q0384,guide the user toward Tailscale or another fallback path,
1124,4,Tailscale 미설치 안내가 표시됨,Tailscale 설치 또는 reachable SSH host 입력을 안내하고 연결 판단은 SSH probe로 진행,continue,BACKED,§1.4 Q0384,guide the user toward Tailscale or another fallback path,
1210,4,사용자가 no-host workbench를 닫거나 아무 조작도 하지 않음,"host 연결, RD 연결, 세션 시작 없이 종료",terminate,UNSPECIFIED,-,no direct requirement for this branch,
1211,4,REMOTE_HOST가 설정되어 있지 않음,"host 상태 버튼은 Set host, RD는 no-host, heartbeat와 notification poll은 조용히 멈춤",continue,UNSPECIFIED,-,no direct requirement,
1212,4,REMOTE_HOST 값이 있지만 허용되지 않는 문자로 invalid 처리됨,보안상 host 없음과 동일하게 다루고 설정 재진입만 허용,continue,UNSPECIFIED,-,no direct requirement,
1213,4,REMOTE_HOST는 valid지만 host가 reachable하지 않음,"상태 버튼은 checking 후 unreachable, RD와 connect/retry로 복구 시도 가능",continue,BACKED,"§1.9 Q0548,Q0552",Remote Desktop must reconnect reliably across launches.,
1214,4,사용자가 setup again 흐름으로 진입,기존 세션을 끊지 않고 다음 실행에서 onboarding으로 재진입,continue,UNSPECIFIED,-,too specific for requirements,
1215,4,사용자가 reconnect/retry 계열 조작을 시도,"host 설정 상태에 따라 경고, 취소, fallback, 복구로 분기",continue,UNSPECIFIED,-,too specific for requirements,
1216,4,telemetry와 heartbeat의 no-op 경로가 발생,usable host가 없으면 사용자 flow를 막지 않음,continue,UNSPECIFIED,-,no direct requirement,
1217,4,RD no-host 상태를 사용자가 봄,RD는 view-only로 남고 host 설정 또는 refresh 외 조작 없음,continue,BACKED,"§1.9 Q0548,Q0552",Remote Desktop must reconnect reliably across launches.,
1220,4,사용자가 아무 조작 없이 workbench를 닫음,"세션이 없으므로 attach, detach, launch 없이 종료",terminate,UNSPECIFIED,-,no direct requirement for this branch,
1221,4,사용자가 기본 RD 탭에 머무름,"host 화면 확인, 새로고침, host 연결 버튼 사용으로 분기",continue,BACKED,"§1.9 Q0346,Q0438,Q0474",checking that Remote Desktop actually works,
1222,4,사용자가 하단 Session Manager의 빈 상태를 확인함,"Attached, Detached, History가 각각 빈 상태를 표시하고 새 세션 생성은 Sessions 사이드바의 `+`에서 시작",continue,BACKED,§1.6 Q0056,launching/attaching persistent host sessions from the client,
1223,4,사용자가 Launch Remote Claude 명령을 선택함,터미널에 `xpair launch`를 준비하고 사용자가 실행 여부를 결정,continue,BACKED,§1.6 Q0056 Q0153 Q0154,launching/attaching persistent host sessions from the client,
1224,4,사용자가 Browser 표면을 열었고 mapped root가 없음,빈 Browser에서 Add Root만 Xpair 기준 진행 경로로 제공,continue,BACKED,§1.8 Q0398 Q0414 Q0480,Browser should show mapped roots and provide Add Mapping,
1225,4,사용자가 host 연결 quickpick을 엶,configured `REMOTE_HOST` 단일 후보를 선택하거나 취소,continue,UNSPECIFIED,-,no direct requirement for this branch,
1230,4,사용자가 세션 표면을 조작하지 않고 앱을 둠,"기존 세션은 host tmux에 남고 새 attach, detach, kill은 발생하지 않음",terminate,UNSPECIFIED,-,no direct requirement for this branch,
1231,4,사용자가 하단 Session Manager의 Attached 탭을 선택함,현재 Xpair IDE 안에 붙어 있는 terminal session 카드만 표시됨,continue,BACKED,§1.6 Q0056,launching/attaching persistent host sessions from the client,
1232,4,사용자가 Detached 탭을 선택함,host 또는 provider가 알려준 detached session 이름을 reattach 카드로 표시함,continue,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1233,4,사용자가 History 탭을 선택함,"live provider history가 있으면 reattach 가능, fallback 저장 history면 표시와 삭제만 가능해야 함",continue,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1234,4,사용자가 Sessions 상단 `+` 또는 Browser의 `New Session Here`를 통해 다른 세션 시작을 시도함,Browser에서 폴더를 고르고 `xpair launch`로 새 terminal session을 열어야 함,continue,UNSPECIFIED,-,no direct requirement for this branch,
1235,4,reachable host인데 session provider 상태가 실제 host session 상태와 맞지 않음,"표면은 stale, provider missing, orphan attached를 구분해야 함",continue,BACKED,§1.6 Q0061 Q0062 Q0063,users should not need to manually reason about stale sockets,
1240,4,사용자가 setup again 진입점을 누르지 않음,현재 workbench와 기존 세션 상태 유지,terminate,UNSPECIFIED,-,too specific for requirements,
1241,4,사용자가 host 상태 버튼을 누름,세션 보존 안내와 함께 setup again 확인을 표시함,continue,BACKED,"§1.2 Q0473,Q0493,Q0494",A Settings Configure action may reopen onboarding from scratch.,
1242,4,사용자가 command palette 등에서 Re-run setup 명령을 실행함,다음 실행에서 setup을 열도록 예약하고 즉시 재시작 여부를 묻음,continue,BACKED,"§1.2 Q0473,Q0493,Q0494",A Settings Configure action may reopen onboarding from scratch.,
1243,4,Xpair가 `.force-onboarding` 상태로 다시 실행됨,이미 설정된 사용자라도 첫 실행 온보딩 창을 다시 표시함,continue,BACKED,§1.2 Q0473,Settings Configure action may reopen onboarding from scratch,
1244,4,setup again 도중 기존 세션 보존 상태를 사용자가 확인함,GUI 재시작과 onboarding은 host tmux 세션을 종료하지 않아야 함,continue,BACKED,§1.6 Q0056 Q0153 Q0154,launching/attaching persistent host sessions from the client,
1310,4,사용자가 Sessions 표면을 열지 않거나 바로 닫음,"세션 목록 조회, attach, launch 없음",terminate,UNSPECIFIED,-,no direct requirement for this branch,
1311,4,사용자가 Attached 탭을 선택함,현재 IDE에 붙은 세션만 카드로 표시,continue,BACKED,§1.6 Q0056 Q0153 Q0154,launching/attaching persistent host sessions from the client,
1312,4,사용자가 Detached 탭을 선택함,host에 살아 있지만 현재 IDE에 붙지 않은 세션을 카드로 표시,continue,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1313,4,사용자가 History 탭을 선택함,"live history는 reattach 가능, 저장 history는 표시와 삭제만 가능",continue,BACKED,§1.6 Q0061 Q0062 Q0063,Detached/orphaned session handling is part of the launcher requirement,
1314,4,사용자가 빈 상태를 봄,빈 상태는 해당 탭 안에서만 세션 없음 메시지를 보여주고 흐름을 막지 않음,continue,UNSPECIFIED,-,no direct requirement for this branch,
1315,4,사용자가 세션 카드를 조작함,"카드 본문, 키보드, X가 서로 다른 동작으로 분기",continue,UNSPECIFIED,-,no direct requirement for this branch,
1316,4,사용자가 새 세션 affordance를 사용함,Sessions 상단 `+` 또는 Browser `New Session Here`로 세션 시작,continue,BACKED,§1.6 Q0056,launching/attaching persistent host sessions,
1317,4,사용자가 Session Manager 패널을 접거나 펼침,패널 표시만 바뀌고 세션 상태는 유지,continue,UNSPECIFIED,-,no direct requirement for this branch,
1318,4,provider missing 또는 provider stale 상태가 발생함,사용자가 기존 세션을 잃은 것으로 보이지 않게 원인 표시와 복구가 필요,continue,BACKED,§1.6 Q0061 Q0062 Q0063,users should not need to manually reason about stale sockets,
1320,4,사용자가 RD를 열지 않거나 바로 닫음,RD 하위 흐름 없이 종료,terminate,UNSPECIFIED,-,RD behavior detail unspecified,
1321,4,RD 탭 reveal 또는 복원 경로에 들어감,"새 RD는 하나만 만들고, 기존 RD는 재사용해야 함",continue,BACKED,"§1.8 Q0402,Q0474",The default editor area should show Remote Desktop,
1322,4,RD가 visible 상태에서 host 연결을 시작함,유효 host가 있으면 v2 signaling tunnel을 시작함,continue,UNSPECIFIED,-,no direct requirement,
1323,4,webview가 v2 signaling과 첫 frame을 처리함,video만 표시하고 view-only badge를 유지함,continue,UNSPECIFIED,-,no direct requirement,
1324,4,사용자가 RD refresh를 실행함,기존 v2 연결을 끊고 새 signaling tunnel로 다시 연결함,continue,UNSPECIFIED,-,protocol detail unspecified,
1325,4,v2 오류가 발생함,RD overlay에 오류와 host 실행 확인 안내를 보여줌,continue,UNSPECIFIED,-,no direct requirement,
1326,4,사용자가 RD 화면에 키보드나 마우스 입력을 시도함,Remote Desktop은 영구 view-only라 host 입력을 보내면 안 됨,continue,UNSPECIFIED,-,no RD input requirement,
1327,4,RD 중복 탭 guard가 작동함,같은 창에 RD 탭은 하나만 남아야 함,continue,UNSPECIFIED,-,no direct requirement,
1330,4,사용자가 해당 표면을 열지 않거나 아무 조작도 하지 않음,"Browser root, mount, map, settings, logs 상태 변화 없음",terminate,BACKED,§1.8 Q0398,Browser should show mapped roots and provide Add Mapping.,
1331,4,사용자가 Browser를 열고 FOLDER_MAPS 기반 root 목록을 봄,`client.env`의 FOLDER_MAPS clientDir 중 실제 존재하는 경로만 선언 순서대로 root가 된다,continue,UNSPECIFIED,-,implementation detail unspecified,
1332,4,Browser가 빈 상태로 열림,native Open Folder 대신 Xpair Add Root만 보여야 함,continue,BACKED,§1.7 Q0414,"[audit] expectation matches: Client UX should use **Add Mapping**, not generic **Open Folder**",
1333,4,Add Root 입력 상자가 열림,사용자는 host 절대경로를 입력하거나 취소한다,continue,UNSPECIFIED,-,no direct requirement,
1334,4,사용자가 Settings 표면을 엶,Xpair 설정 또는 VSCodium settings가 열리되 Xpair userflow 밖 설정은 차단한다,continue,UNSPECIFIED,-,no direct requirement for this branch,
1335,4,사용자가 Show Logs 표면을 엶,로그 폴더를 Finder에 보여주고 선택 시 collect command를 terminal에서 실행한다,continue,BACKED,"§1.12 Q0380,Q0400",Users must be able to collect logs after a crash or failed setup,
2110,4,Quick Action 호출 뒤 사용자가 터미널 또는 실행 표면을 닫음,"세션 생성, SSH, mosh attach 없이 종료",terminate,UNSPECIFIED,-,no direct requirement,
2111,4,Finder가 mapped folder 선택을 Service에 전달함,선택된 folder path 하나를 CLI launch 대상으로 사용,continue,UNSPECIFIED,-,no direct requirement,
2112,4,CLI가 mapped folder의 host path와 session base를 계산함,client path를 host path로 치환하고 host path 기준 session 이름을 만듦,continue,BACKED,"§1.7 Q0041,Q0042,Q0043",Xpair assumes files are available on the host and maps client paths to host paths.,
2113,4,launcher가 remote/local target을 결정함,"기본은 remote, 명시 local 또는 self-host면 local branch로 이동",continue,UNSPECIFIED,-,not directly specified,
2114,4,remote setup이 tmux session을 만들거나 기존 session에 붙음,사용자는 terminal에서 mosh 또는 ssh attach 화면을 봄,continue,UNSPECIFIED,-,no direct requirement,
2115,4,사용자가 terminal attach 화면을 봄,mapped host path에서 agent session이 열려 입력 가능,continue,BACKED,"§1.6 Q0056,Q0153,Q0154",launching/attaching persistent host sessions from the client,
2120,4,Quick Action 호출 뒤 사용자가 터미널을 닫거나 실행을 중단함,"host probe, mapping 변경, session 생성 없이 종료",terminate,UNSPECIFIED,-,no direct requirement,
2121,4,Finder가 넘긴 client folder가 local에서 사라졌거나 folder가 아님,GUI 실행 전에 `folder not found`를 보여주고 종료,continue,UNSPECIFIED,-,no direct requirement,
2122,4,mapping은 있으나 mapped host path가 host에 없음,"사용자는 host dir 생성, 실제 host path로 remap, 취소 중 하나를 선택",continue,UNSPECIFIED,-,not directly specified,
2123,4,SSH reachability가 실패함,SSH 오류를 보여주고 Tailscale 보정 뒤에도 실패하면 local fallback으로 이동,continue,BACKED,§1.4 Q0384,guide the user toward Tailscale or another fallback path,
2124,4,SSH host auth가 실패함,"`Permission denied`, key, host-key 오류를 그대로 보여주고 local fallback으로 이동",continue,UNSPECIFIED,-,no direct requirement,
2125,4,reach는 됐지만 host dir check SSH가 불안정함,최대 3회 재시도하고 실패가 지속되면 local fallback,continue,UNSPECIFIED,-,not directly specified,
2126,4,remote setup 단계에서 host 측 준비가 실패함,terminal에 setup 실패 원인을 보여주고 remote attach를 만들지 않음,continue,UNSPECIFIED,-,no direct requirement,
3110,4,사용자가 local 실행 전에 종료함,"엔진 검사, tmux 검사, 세션 생성 없음",terminate,UNSPECIFIED,-,no direct requirement for this branch,
3111,4,local target 결정 원인을 확인함,"명시 옵션, 원격 미설정, self-host, 대화식 선택을 구분함",continue,UNSPECIFIED,-,not directly specified,
3112,4,`launch_local`이 시작됨,선택 엔진과 현재 프로젝트 경로를 기준으로 local 세션을 준비함,continue,UNSPECIFIED,-,no direct requirement,
3113,4,aqua tmux 경로를 시도함,XpairHost subtree 아래 `tmux-aqua` 세션으로 붙거나 fallback으로 이동,continue,UNSPECIFIED,-,no direct requirement,
3114,4,일반 tmux fallback 경로로 진행함,XpairHost 권한 상속 없이 현재 Mac의 plain tmux 세션을 사용함,continue,UNSPECIFIED,-,no direct requirement for this state,
3120,4,launch 시작 뒤 사용자가 종료함,"mapping, SSH, tmux 생성 없이 종료",terminate,UNSPECIFIED,-,not directly specified,
3121,4,launcher가 client path를 host path로 매핑함,가장 긴 mapping prefix를 적용해 host project path를 확정,continue,BACKED,§1.7 Q0041 Q0042 Q0043,maps client paths to host paths,
3122,4,launcher가 remote dir 존재를 확인함,host에 project dir이 있으면 remote setup으로 진행,continue,UNSPECIFIED,-,not directly specified,
3123,4,launcher가 remote tmux session 번호와 상태를 결정함,live client tab이 없는 가장 낮은 `_N`을 선택,continue,UNSPECIFIED,-,not directly specified,
3124,4,launcher가 attach transport를 선택함,"mosh가 있으면 mosh, 없으면 ssh TTY로 tmux에 붙음",continue,UNSPECIFIED,-,not directly specified,
3125,4,사용자가 attached agent 화면을 봄,mapped host path 기준 agent session을 사용할 수 있음,continue,BACKED,"§1.6 Q0056,Q0153,Q0154",launching/attaching persistent host sessions from the client,
3130,4,사용자가 unmapped launch를 중단함,"mapping 등록, host dir 생성, 세션 생성 없음",terminate,UNSPECIFIED,-,too specific for requirements,
3131,4,remote에 같은 path가 이미 있음,사용자에게 mapping 등록 여부를 묻고 launch는 계속 가능,continue,BACKED,§1.7 Q0041 Q0042 Q0043,maps client paths to host paths,
3132,4,remote에 같은 path가 없음,"map to actual host path, create empty dir, cancel 중 선택",continue,BACKED,§1.7 Q0041 Q0042 Q0043,maps client paths to host paths,
3133,4,`RP_YES=1` 또는 `--yes`로 noninteractive 실행함,prompt 없이 remote를 선택하고 missing host dir은 자동 생성,continue,UNSPECIFIED,-,no direct requirement,
3140,4,사용자가 실패 화면을 닫거나 launch를 중단함,"remote, local session 모두 새로 만들지 않음",terminate,UNSPECIFIED,-,no direct requirement for this branch,
3141,4,첫 SSH reach 체크가 host unreachable로 실패함,연결 불가 원인을 보여주고 Tailscale 보조 시도 후에도 실패하면 local fallback,continue,BACKED,§1.4 Q0383 Q0384,guide the user toward Tailscale or another fallback path,
3142,4,SSH는 reachable하지 않고 BatchMode auth가 실패함,비대화식 launch는 암호 입력을 띄우지 않고 key auth 수정 안내로 끝나거나 fallback,continue,UNSPECIFIED,-,no direct requirement,
3143,4,SSH host key mismatch가 발생함,rekeyed host로 분리해 known_hosts 정리 또는 재페어링을 안내해야 함,continue,UNSPECIFIED,-,no direct requirement,
3144,4,reach는 통과했지만 host dir 확인 SSH가 3회 실패함,"transient SSH 실패와 dir missing을 구분하고, 3회 실패 후 local fallback",continue,UNSPECIFIED,-,not directly specified,
3145,4,remote setup SSH 또는 host-side setup이 실패함,이미 reach된 host라도 remote session marker 없으면 종료하고 원인을 보여줌,continue,UNSPECIFIED,-,no direct requirement,
3146,4,remote 실패 뒤 local fallback으로 진입함,"local/self-host session이 가능하면 local로 열고, 불가능하면 오류와 pause",continue,UNSPECIFIED,-,no direct requirement,
3147,4,실패 로그와 pause 동작을 확인함,모든 실패는 닫히기 전에 원인과 로그 경로를 확인할 수 있어야 함,continue,BACKED,§1.12 Q0380 Q0400,Users must be able to collect logs after a crash or failed setup,
4110,4,사용자가 권한과 엔진 설정 완료 전 onboarding 창을 닫음,AX와 SR이 없으면 host setup을 중단함,terminate,BACKED,§1.5 Q0443,"If TCC is not resolved, the app should not proceed as though setup succeeded.",
4111,4,Welcome 단계가 표시됨,사용자가 XpairHost 역할과 권한 필요성을 확인하고 시작 여부를 고름,continue,BACKED,§1.2 Q0441,Host onboarding must exist.,
4112,4,Permissions 단계에서 권한 상태를 확인함,"AX와 SR은 필수, FDA는 권장으로 분기함",continue,BACKED,§1.5 Q0443,"If TCC is not resolved, the app should not proceed as though setup succeeded.",
4113,4,Engine 단계에서 실행 엔진을 설정함,"claude, codex, opencode 중 하나를 설치 및 인증 완료해야 Connect로 감",continue,BACKED,§1.3 Q0541,onboarding should check for that tool and help install/configure required environment variables.,
4120,4,사용자가 Connect 또는 Done 범위에서 창을 닫음,완료 전이면 host serving을 시작하지 않고 flow 종료,terminate,BACKED,§1.2 Q0369 Q0402 Q0474,Client onboarding closes only after the necessary setup is complete,
4121,4,Connect 단계가 표시됨,다른 Mac에서 Xpair를 열라는 안내와 현재 Mac 이름을 보여줌,continue,UNSPECIFIED,-,no direct requirement,
4122,4,연결된 클라이언트 heartbeat가 나타남,Connect 화면이 연결 완료 상태로 바뀌고 Done으로 진행 가능해야 함,continue,UNSPECIFIED,-,no direct requirement for this state,
4123,4,Done 단계가 표시됨,"완료 전 마지막 확인과 선택 동의 변경, 완료 버튼을 제공",continue,BACKED,§1.12 Q0448,onboarding must expose the opt-in decision.,
4210,4,사용자가 메뉴를 열지 않거나 아무 항목도 선택하지 않음,Host는 기존 준비 상태를 유지함,terminate,UNSPECIFIED,-,no direct requirement for this branch,
4211,4,사용자가 `Permissions...`를 선택함,"권한 단계로 열린 host onboarding에서 AX, SR, FDA 확인과 재요청을 진행함",continue,BACKED,§1.5 Q0443,"If TCC is not resolved, the app should not proceed as though setup succeeded.",
4212,4,사용자가 `Connect...`를 선택함,클라이언트 연결 안내 단계가 열림,continue,UNSPECIFIED,-,no direct requirement for this branch,
4213,4,사용자가 `Set up...`를 선택함,"전체 host onboarding을 처음부터 다시 열어 권한, 엔진, 연결 안내를 재검토함",continue,BACKED,"§0.4 Q0441,Q0442,Q0473,Q0493,Q0494",Host onboarding must be accessible from the Host app/menu bar,
4214,4,사용자가 `Check for Updates...`를 선택함,"최신 릴리스 확인 후 실패, 최신, 업데이트 적용 여부로 분기함",continue,BACKED,§2 Q0482,**Check for updates...** should be used,
4215,4,사용자가 `About XpairHost`를 선택함,"버전, 역할, 저장소 정보를 확인함",continue,UNSPECIFIED,-,no direct requirement for this branch,
4216,4,사용자가 Sessions 목록을 확인함,"서버 상태와 Attached, Detached 세션을 읽고 세션별 종료만 선택할 수 있음",continue,UNSPECIFIED,-,no direct requirement for this branch,
